Location ID,Location,Value
ID-011,Bingham County,48.2
ID-013,Blaine County,46.3
ID-015,Boise County,47.2
ID-017,Bonner County,47
ID-019,Bonneville County,45.5
ID-021,Boundary County,44.9
ID-023,Butte County,45.1
ID-025,Camas County,45.6
ID-027,Canyon County,56.1
ID-029,Caribou County,45.4
ID-031,Cassia County,50.3
ID-033,Clark County,43.9
ID-035,Clearwater County,46.9
ID-037,Custer County,42
ID-039,Elmore County,51.5
ID-041,Franklin County,48.4
ID-043,Fremont County,43.4
ID-045,Gem County,53
ID-047,Gooding County,53.7
ID-049,Idaho County,45
ID-051,Jefferson County,47.3
ID-053,Jerome County,53.7
ID-055,Kootenai County,49.2
ID-057,Latah County,49.7
ID-059,Lemhi County,43
ID-061,Lewis County,48.8
ID-063,Lincoln County,51.3
ID-065,Madison County,46.6
ID-067,Minidoka County,50.8
ID-069,Nez Perce County,52.4
ID-071,Oneida County,50
ID-073,Owyhee County,51.8
ID-075,Payette County,55.5
ID-077,Power County,49.6
ID-079,Shoshone County,45.9
ID-081,Teton County,43.4
ID-083,Twin Falls County,51.7
ID-085,Valley County,42.9
ID-087,Washington County,52.1
IL-001,Adams County,56.1
IL-003,Alexander County,61
IL-005,Bond County,57.9
IL-007,Boone County,52.4
IL-009,Brown County,55.9
IL-011,Bureau County,53.5
IL-013,Calhoun County,57.6
IL-015,Carroll County,52.9
IL-017,Cass County,55.9
IL-019,Champaign County,55.2
IL-021,Christian County,56.4
IL-023,Clark County,56.9
IL-025,Clay County,58.3
IL-027,Clinton County,58.8
IL-029,Coles County,56.4
IL-031,Cook County,54.3
IL-033,Crawford County,58
IL-035,Cumberland County,56.9
IL-037,DeKalb County,52.5
IL-039,De Witt County,55.6
IL-041,Douglas County,56.1
IL-043,DuPage County,53.8
IL-045,Edgar County,55.8
IL-047,Edwards County,59.3
IL-049,Effingham County,57.2
IL-051,Fayette County,57.3
IL-053,Ford County,54.6
IL-055,Franklin County,59.3
IL-057,Fulton County,55.3
IL-059,Gallatin County,59.6
IL-061,Greene County,57.1
IL-063,Grundy County,54.5
IL-065,Hamilton County,59.5
IL-067,Hancock County,55.5
IL-069,Hardin County,60
IL-071,Henderson County,54.6
IL-073,Henry County,53.6
IL-075,Iroquois County,54.9
IL-077,Jackson County,59.3
IL-079,Jasper County,57.6
IL-081,Jefferson County,59
IL-083,Jersey County,57.9
IL-085,Jo Daviess County,51.9
IL-087,Johnson County,60
IL-089,Kane County,52.9
IL-091,Kankakee County,54.6
IL-093,Kendall County,53.7
IL-095,Knox County,53.9
IL-097,Lake County,52.8
IL-099,LaSalle County,53.9
IL-101,Lawrence County,58.6
IL-103,Lee County,53.1
IL-105,Livingston County,54.6
IL-107,Logan County,56
IL-109,McDonough County,54.9
IL-111,McHenry County,52.4
IL-113,McLean County,55
IL-115,Macon County,56
IL-117,Macoupin County,57
IL-119,Madison County,58.3
IL-121,Marion County,58.3
IL-123,Marshall County,54.6
IL-125,Mason County,56
IL-127,Massac County,61.1
IL-129,Menard County,55.8
IL-131,Mercer County,54
IL-133,Monroe County,59.6
IL-135,Montgomery County,56.8
IL-137,Morgan County,56.1
IL-139,Moultrie County,56.2
IL-141,Ogle County,53
IL-143,Peoria County,55
IL-145,Perry County,59
IL-147,Piatt County,55.6
IL-149,Pike County,56.5
IL-151,Pope County,60.1
IL-153,Pulaski County,61.1
IL-155,Putnam County,54.3
IL-157,Randolph County,59
IL-159,Richland County,58.4
IL-161,Rock Island County,53.9
IL-163,St. Clair County,59
IL-165,Saline County,59.5
IL-167,Sangamon County,56.1
IL-169,Schuyler County,55.8
IL-171,Scott County,56.5
IL-173,Shelby County,56.5
IL-175,Stark County,53.8
IL-177,Stephenson County,51.7
IL-179,Tazewell County,55.7
IL-181,Union County,60
IL-183,Vermilion County,55.1
IL-185,Wabash County,59.3
IL-187,Warren County,54
IL-189,Washington County,59
IL-191,Wayne County,59.3
IL-193,White County,59.5
IL-195,Whiteside County,53.6
IL-197,Will County,54.2
IL-199,Williamson County,59.4
IL-201,Winnebago County,52.5
IL-203,Woodford County,55
IN-001,Adams County,54.7
IN-003,Allen County,54
IN-005,Bartholomew County,57.3
IN-007,Benton County,54.3
IN-009,Blackford County,55.3
IN-011,Boone County,54.9
IN-013,Brown County,56.6
IN-015,Carroll County,54.8
IN-017,Cass County,54.4
IN-019,Clark County,59.5
IN-021,Clay County,57.1
IN-023,Clinton County,54.8
IN-025,Crawford County,57.8
IN-027,Daviess County,58.5
IN-029,Dearborn County,57.7
IN-031,Decatur County,56.5
IN-033,DeKalb County,53.2
IN-035,Delaware County,55.9
IN-037,Dubois County,58.1
IN-039,Elkhart County,53.3
IN-041,Fayette County,55.8
IN-043,Floyd County,59.5
IN-045,Fountain County,55.2
IN-047,Franklin County,56.6
IN-049,Fulton County,54
IN-051,Gibson County,59.5
IN-053,Grant County,55.2
IN-055,Greene County,57.6
IN-057,Hamilton County,55.5
IN-059,Hancock County,55.8
IN-061,Harrison County,59.1
IN-063,Hendricks County,55.4
IN-065,Henry County,55.2
IN-067,Howard County,54.6
IN-069,Huntington County,54.5
IN-071,Jackson County,57.6
IN-073,Jasper County,54
IN-075,Jay County,55
IN-077,Jefferson County,58.4
IN-079,Jennings County,57.6
IN-081,Johnson County,56.3
IN-083,Knox County,58.8
IN-085,Kosciusko County,53.7
IN-087,LaGrange County,53
IN-089,Lake County,53.9
IN-091,LaPorte County,53.5
IN-093,Lawrence County,57.1
IN-095,Madison County,55.9
IN-097,Marion County,56
IN-099,Marshall County,53.6
IN-101,Martin County,57.8
IN-103,Miami County,54.6
IN-105,Monroe County,56.4
IN-107,Montgomery County,55.1
IN-109,Morgan County,56.2
IN-111,Newton County,54.4
IN-113,Noble County,53.2
IN-115,Ohio County,58.5
IN-117,Orange County,57.5
IN-119,Owen County,56.7
IN-121,Parke County,55.6
IN-123,Perry County,58
IN-125,Pike County,59
IN-127,Porter County,53.6
IN-129,Posey County,59.6
IN-131,Pulaski County,54
IN-133,Putnam County,55.5
IN-135,Randolph County,55
IN-137,Ripley County,57
IN-139,Rush County,55.9
IN-141,St. Joseph County,53.4
IN-143,Scott County,58.5
IN-145,Shelby County,56.6
IN-147,Spencer County,59
IN-149,Starke County,53.8
IN-151,Steuben County,52.6
IN-153,Sullivan County,58.3
IN-155,Switzerland County,58.9
IN-157,Tippecanoe County,55
IN-159,Tipton County,54.9
IN-161,Union County,56.1
IN-163,Vanderburgh County,59.9
IN-165,Vermillion County,55.7
IN-167,Vigo County,57.3
IN-169,Wabash County,54.6
IN-171,Warren County,54.8
IN-173,Warrick County,59.5
IN-175,Washington County,57.8
IN-177,Wayne County,55.4
IN-179,Wells County,54.7
IN-181,White County,54.3
IN-183,Whitley County,53.7
IA-001,Adair County,52.9
IA-003,Adams County,53.5
IA-005,Allamakee County,50.3
IA-007,Appanoose County,54.1
IA-009,Audubon County,52.4
IA-011,Benton County,51
IA-013,Black Hawk County,50.7
IA-015,Boone County,52.6
IA-017,Bremer County,50.3
IA-019,Buchanan County,50
IA-021,Buena Vista County,51.1
IA-023,Butler County,50.8
IA-025,Calhoun County,51.8
IA-027,Carroll County,52.4
IA-029,Cass County,53.3
IA-031,Cedar County,52.7
IA-033,Cerro Gordo County,49.9
IA-035,Cherokee County,51.2
